timestamp,device,metric,value
1734161589,Shelly PM 0,power,898.29
1734161589,Shelly PM 0,total,2562029.7
1734161589,Shelly PM 0,total_returned,42041.7
1734161589,solar,power,0
1734161589,humedad suelo,temperature,18.63
1734161589,humedad suelo,humidity,32.21
1734161589,humedad suelo,ec,224
1734161589,pH,pH,9.0
1734161589,NPK,N,6
1734161589,NPK,P,8
1734161589,NPK,K,21
1734161589,suelo,humidity,42.9
1734161589,suelo,temperature,25.6
1734161589,suelo,ec,155
1734161589,suelo,pH,3.0
1734161589,suelo,N,0
1734161589,suelo,P,31
1734161589,suelo,K,24
1734161589,suelo,salinity,85
1734161589,suelo,tds,77
1734161589,temp_interior,humidity,81.3
1734161589,temp_interior,temperature,3.8
1734161589,temp_exterior,humidity,51.3
1734161589,temp_exterior,temperature,1.3
1734161589,co2,co2,683
1734161589,presion caldera,presion,0.98
1734161649,Shelly PM 0,power,713.73
1734161649,Shelly PM 0,total,2562042.9
1734161649,Shelly PM 0,total_returned,42041.7
1734161650,solar,power,0
1734161650,humedad suelo,temperature,18.63
1734161650,humedad suelo,humidity,32.21
1734161650,humedad suelo,ec,226
1734161650,pH,pH,9.0
1734161650,NPK,N,6
1734161650,NPK,P,8
1734161650,NPK,K,21
1734161650,suelo,humidity,43.2
1734161650,suelo,temperature,25.6
1734161650,suelo,ec,155
1734161650,suelo,pH,3.0
1734161650,suelo,N,0
1734161650,suelo,P,31
1734161650,suelo,K,24
1734161650,suelo,salinity,85
1734161650,suelo,tds,77
1734161650,temp_interior,humidity,81.1
1734161650,temp_interior,temperature,3.8
1734161650,temp_exterior,humidity,51.3
1734161650,temp_exterior,temperature,1.2
1734161650,co2,co2,684
1734161650,presion caldera,presion,0.98
1734161710,Shelly PM 0,power,715.41
1734161710,Shelly PM 0,total,2562054.4
1734161710,Shelly PM 0,total_returned,42041.7
1734161710,solar,power,0
1734161710,humedad suelo,temperature,18.66
1734161710,humedad suelo,humidity,32.21
1734161710,humedad suelo,ec,225
1734161710,pH,pH,9.0
1734161710,NPK,N,6
1734161710,NPK,P,8
1734161710,NPK,K,21
1734161710,suelo,humidity,43.0
1734161710,suelo,temperature,25.6
1734161710,suelo,ec,156
1734161710,suelo,pH,3.0
1734161710,suelo,N,0
1734161710,suelo,P,32
1734161710,suelo,K,24
1734161710,suelo,salinity,85
1734161710,suelo,tds,78
1734161711,temp_interior,humidity,81.0
1734161711,temp_interior,temperature,3.8
1734161711,temp_exterior,humidity,51.3
1734161711,temp_exterior,temperature,1.2
1734161711,co2,co2,682
1734161711,presion caldera,presion,0.98
1734161737,Shelly PM 0,power,707.07
1734161737,Shelly PM 0,total,2562054.4
1734161737,Shelly PM 0,total_returned,42041.7
1734161737,solar,power,0
1734161737,humedad suelo,temperature,18.63
1734161737,humedad suelo,humidity,32.21
1734161737,humedad suelo,ec,228
1734161737,pH,pH,8.9
1734161737,NPK,N,6
1734161737,NPK,P,8
1734161737,NPK,K,21
1734161737,suelo,humidity,43.0
1734161737,suelo,temperature,25.6
1734161737,suelo,ec,157
1734161737,suelo,pH,3.0
1734161737,suelo,N,0
1734161737,suelo,P,32
1734161737,suelo,K,25
1734161737,suelo,salinity,86
1734161737,suelo,tds,78
1734161737,temp_interior,humidity,81.0
